index,time_pos,lat,lon,alt,err_x,err_y,err_z,vx,vy,vz,speed_norm
384,15-16-13,48.6300326,7.7892688,150.39000000000001,27.13156210150933,-0.03674530828777242,-0.3900000000000148,2.0,-0.03674530828777242,-0.3900000000000148,2.0003375259393508
387,15-16-13,48.6300342,7.7892689,150.44,26.95365021916921,-0.04409436919402275,-0.4399999999999977,2.0,-0.04409436919402275,-0.4399999999999977,2.000486019294966
390,15-16-13,48.6300359,7.789269,150.5,26.76461884324459,-0.051443429881542206,-0.5,2.0,-0.051443429881542206,-0.5,2.0006614972248498
393,15-16-13,48.6300376,7.789269,150.54,26.57558746811007,-0.051443429014966915,-0.539999999999992,2.0,-0.051443429014966915,-0.539999999999992,2.000661497202567
396,15-16-13,48.6300393,7.789269,150.59,26.38655609297554,-0.051443428148391625,-0.5900000000000034,2.0,-0.051443428148391625,-0.5900000000000034,2.000661497180285
399,15-16-14,48.6300408,7.7892691,150.63,26.219763702639725,-0.058792488457239486,-0.6299999999999955,2.0,-0.058792488457239486,-0.6299999999999955,2.0008639525712373
402,15-16-14,48.6300425,7.7892692,150.67000000000002,26.030732327505195,-0.06614154835127158,-0.6700000000000159,2.0,-0.06614154835127158,-0.6700000000000159,2.001093377236131
405,15-16-14,48.6300442,7.7892692,150.70000000000002,25.84170095237067,-0.06614154723710329,-0.700000000000017,2.0,-0.06614154723710329,-0.700000000000017,2.0010933771993047
408,15-16-14,48.6300459,7.7892693,150.73,25.652669577236143,-0.0734906068250187,-0.7299999999999898,2.0,-0.0734906068250187,-0.7299999999999898,2.0013497618586085
411,15-16-14,48.6300478,7.7892692,150.74,25.44139921651282,-0.06614154487768807,-0.7400000000000091,2.0,-0.06614154487768807,-0.7400000000000091,2.0010933771213195
414,15-16-14,48.6300497,7.7892692,150.75,25.23012885578949,-0.06614154363244114,-0.75,2.0,-0.06614154363244114,-0.75,2.001093377080161
417,15-16-14,48.6300514,7.7892692,150.75,25.04109748065497,-0.06614154251827278,-0.75,2.0,-0.06614154251827278,-0.75,2.0010933770433343
420,15-16-14,48.6300533,7.7892692,150.75,24.82982711993164,-0.06614154127302581,-0.75,2.0,-0.06614154127302581,-0.75,2.0010933770021757
423,15-16-15,48.6300551,7.7892691,150.74,24.629676252002717,-0.058792480126464625,-0.7400000000000091,2.0,-0.058792480126464625,-0.7400000000000091,2.0008639523264495
426,15-16-15,48.630057,7.7892691,150.73,24.418405891279388,-0.05879247901957838,-0.7299999999999898,2.0,-0.05879247901957838,-0.7299999999999898,2.0008639522939253
429,15-16-15,48.6300587,7.7892691,150.72,24.229374516144862,-0.05879247802920646,-0.7199999999999989,2.0,-0.05879247802920646,-0.7199999999999989,2.0008639522648246
432,15-16-15,48.6300605,7.7892691,150.70000000000002,24.029223648215936,-0.05879247698057738,-0.700000000000017,2.0,-0.05879247698057738,-0.700000000000017,2.0008639522340124
435,15-16-15,48.6300623,7.7892691,150.67000000000002,23.82907278028701,-0.058792475931948265,-0.6700000000000159,2.0,-0.058792475931948265,-0.6700000000000159,2.0008639522031997
438,15-16-15,48.6300641,7.7892691,150.64000000000001,23.628921912358084,-0.05879247488331914,-0.6400000000000148,2.0,-0.05879247488331914,-0.6400000000000148,2.0008639521723874
441,15-16-15,48.6300658,7.7892691,150.6,23.439890537223558,-0.05879247389294717,-0.5999999999999943,2.0,-0.05879247389294717,-0.5999999999999943,2.0008639521432867
444,15-16-15,48.6300677,7.789269,150.56,23.228620176500236,-0.05144341367148505,-0.5600000000000023,2.0,-0.05144341367148505,-0.5600000000000023,2.000661496808037
447,15-16-16,48.6300695,7.789269,150.51,23.02846930857131,-0.05144341275393452,-0.5099999999999909,2.0,-0.05144341275393452,-0.5099999999999909,2.000661496784444
450,15-16-16,48.6300713,7.7892689,150.46,22.828318440642384,-0.04409435298396549,-0.46000000000000796,2.0,-0.04409435298396549,-0.46000000000000796,2.0004860189376665
